Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI ;Valor GMM
2012;Abrantes;Cursos gerais;10º ano;19.3;556;975.8
2012;Abrantes;Cursos gerais;11º ano;16.5;556;975.8
2012;Abrantes;Cursos gerais;12º ano;38.5;556;975.8
2012;Abrantes;Cursos Tecnológicos e Profissionais;10º ano;12.9;556;975.8
2012;Abrantes;Cursos Tecnológicos e Profissionais;11º ano;7.8;556;975.8
2012;Abrantes;Cursos Tecnológicos e Profissionais;12º ano;32.9;556;975.8
2012;Águeda;Cursos gerais;10º ano;20.3;501;925.6
2012;Águeda;Cursos gerais;11º ano;11.9;501;925.6
2012;Águeda;Cursos gerais;12º ano;40.3;501;925.6
2012;Águeda;Cursos Tecnológicos e Profissionais;10º ano;10.4;501;925.6
2012;Águeda;Cursos Tecnológicos e Profissionais;11º ano;9.8;501;925.6
2012;Águeda;Cursos Tecnológicos e Profissionais;12º ano;14.3;501;925.6
2012;Aguiar da Beira;Cursos gerais;10º ano;11.1;48;698.6
2012;Aguiar da Beira;Cursos gerais;11º ano;17.6;48;698.6
2012;Aguiar da Beira;Cursos gerais;12º ano;26.3;48;698.6
2012;Aguiar da Beira;Cursos Tecnológicos e Profissionais;10º ano;5.9;48;698.6
2012;Aguiar da Beira;Cursos Tecnológicos e Profissionais;11º ano;0.0;48;698.6
2012;Aguiar da Beira;Cursos Tecnológicos e Profissionais;12º ano;35.3;48;698.6
2012;Alandroal;Cursos gerais;10º ano;;94;790.9
2012;Alandroal;Cursos gerais;11º ano;;94;790.9
2012;Alandroal;Cursos gerais;12º ano;;94;790.9
2012;Alandroal;Cursos Tecnológicos e Profissionais;10º ano;;94;790.9
2012;Alandroal;Cursos Tecnológicos e Profissionais;11º ano;0.0;94;790.9
2012;Alandroal;Cursos Tecnológicos e Profissionais;12º ano;;94;790.9
2012;Albergaria-a-Velha;Cursos gerais;10º ano;19.6;342;948.4
2012;Albergaria-a-Velha;Cursos gerais;11º ano;16.8;342;948.4
2012;Albergaria-a-Velha;Cursos gerais;12º ano;46.4;342;948.4
2012;Albergaria-a-Velha;Cursos Tecnológicos e Profissionais;10º ano;10.8;342;948.4
2012;Albergaria-a-Velha;Cursos Tecnológicos e Profissionais;11º ano;7.9;342;948.4
2012;Albergaria-a-Velha;Cursos Tecnológicos e Profissionais;12º ano;32.3;342;948.4
2012;Albufeira;Cursos gerais;10º ano;26.2;350;911.2
2012;Albufeira;Cursos gerais;11º ano;22.2;350;911.2
2012;Albufeira;Cursos gerais;12º ano;36.1;350;911.2
2012;Albufeira;Cursos Tecnológicos e Profissionais;10º ano;3.0;350;911.2
2012;Albufeira;Cursos Tecnológicos e Profissionais;11º ano;2.4;350;911.2
2012;Albufeira;Cursos Tecnológicos e Profissionais;12º ano;32.0;350;911.2
2012;Alcácer do Sal;Cursos gerais;10º ano;21.0;272;879.3
2012;Alcácer do Sal;Cursos gerais;11º ano;11.3;272;879.3
2012;Alcácer do Sal;Cursos gerais;12º ano;28.1;272;879.3
2012;Alcácer do Sal;Cursos Tecnológicos e Profissionais;10º ano;;272;879.3
2012;Alcácer do Sal;Cursos Tecnológicos e Profissionais;11º ano;6.2;272;879.3
