Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2012;Abrantes;0.324;0.101;0.226;0.0;0.993;0.798;0.692;0.441;975.8
2012;Águeda;0.359;0.014;0.066;0.0;1.0;0.15;0.622;0.365;925.6
2012;Aguiar da Beira;0.038;0.0;0.265;0.0;0.568;0.882;0.048;0.023;698.6
2012;Alandroal;0.334;0.334;0.334;0.0;0.334;0.334;0.106;0.162;790.9
2012;Albergaria-a-Velha;0.334;0.028;0.237;0.0;1.0;0.777;0.421;0.399;948.4
2012;Albufeira;0.564;0.0;0.425;0.0;0.909;0.767;0.431;0.343;911.2
2012;Alcácer do Sal;0.383;0.345;0.045;0.0;0.631;0.0;0.332;0.295;879.3
2012;Alcanena;0.066;0.373;0.139;0.0;0.585;0.812;0.157;0.451;982.5
2012;Alcobaça;0.0;0.0;0.077;0.0;0.972;0.659;0.521;0.293;878.0
2012;Alcoutim;0.331;0.331;0.331;0.331;0.331;0.331;0.027;0.126;766.9
2012;Alfândega da Fé;0.063;0.331;0.523;0.0;0.909;0.331;0.043;0.101;750.5
2012;Alijó;0.0;0.387;0.087;0.038;0.732;0.0;0.205;0.321;896.2
2012;Aljezur;0.334;0.334;0.334;0.334;0.334;0.334;0.093;0.149;782.6
2012;Almeida;0.0;0.258;0.206;0.331;1.0;0.15;0.115;0.117;761.0
2012;Almeirim;0.484;0.0;0.052;0.0;0.753;0.0;0.534;0.358;920.8
2012;Almodôvar;0.286;0.209;0.0;0.0;1.0;0.0;0.093;0.147;780.8
2012;Alpiarça;0.0;0.181;0.017;0.341;1.0;0.348;0.1;0.314;891.7
2012;Alter do Chão;0.202;0.0;0.456;0.0;1.0;1.0;0.147;0.178;801.3
2012;Alvaiázere;0.024;0.338;0.589;0.338;1.0;0.0;0.077;0.228;834.4
2012;Alvito;0.341;0.0;0.341;0.0;0.341;0.613;0.051;0.318;894.4
2012;Amarante;0.087;0.01;0.0;0.0;0.983;0.136;1.0;0.225;832.4
2012;Amares;0.282;0.185;0.254;0.0;0.812;0.0;0.292;0.263;857.9
2012;Anadia;0.251;0.052;0.101;0.0;0.836;0.659;0.166;0.365;925.3
2012;Angra do Heroísmo;0.937;1.0;0.39;0.0;0.92;0.641;1.0;0.376;933.0
2012;Ansião;0.425;0.0;0.143;0.0;0.638;0.206;0.151;0.22;829.2
2012;Arcos de Valdevez;0.07;0.0;0.0;0.0;0.895;0.0;0.15;0.16;789.9
2012;Arganil;0.366;0.0;0.0;0.0;0.718;0.275;0.265;0.131;770.4
2012;Armamar;0.331;0.331;0.331;0.331;0.331;0.331;0.114;0.098;748.2
2012;Arouca;0.0;0.0;0.091;0.0;0.955;0.143;0.255;0.092;744.6
2012;Arraiolos;0.439;0.0;0.22;0.338;0.843;0.038;0.103;0.233;838.3
2012;Arronches;0.338;0.338;0.338;0.338;0.338;0.338;0.065;0.22;829.2
2012;Arruda dos Vinhos;0.0;0.425;0.0;0.0;0.833;1.0;0.091;0.421;962.9
2012;Avis;0.341;0.328;0.341;0.0;0.341;0.087;0.236;0.259;855.4
2012;Baião;0.432;0.0;0.282;0.0;0.906;0.045;1.0;0.087;741.5
2012;Barcelos;0.003;0.0;0.007;0.0;0.544;0.181;0.975;0.161;790.3
2012;Barrancos;0.331;0.331;0.331;0.331;0.331;0.331;0.068;0.134;772.5
2012;Batalha;0.202;0.829;0.0;0.174;0.641;1.0;0.075;0.345;912.5
2012;Beja;0.185;0.289;0.042;0.0;0.847;0.676;1.0;0.445;978.3
2012;Belmonte;0.582;0.331;0.523;0.0;0.812;0.331;0.181;0.07;729.7
2012;Benavente;0.223;0.052;0.139;0.355;1.0;0.0;0.726;0.448;980.7
2012;Bombarral;0.174;0.958;0.474;0.0;1.0;1.0;0.137;0.216;826.7
2012;Borba;0.345;0.345;0.345;0.345;0.345;0.345;0.213;0.351;916.3
2012;Boticas;0.328;0.328;0.328;0.0;0.328;0.328;0.09;0.045;713.3
2012;Braga;0.254;0.0;0.136;0.0;0.742;0.763;1.0;0.452;983.4
2012;Bragança;0.453;0.0;0.272;0.0;0.833;1.0;0.427;0.253;851.0
2012;Cabeceiras de Basto;0.373;0.0;0.348;0.0;1.0;0.028;0.607;0.07;729.8
2012;Cadaval;0.373;0.233;0.0;0.0;1.0;0.0;0.082;0.23;836.1
2012;Caldas da Rainha;0.111;0.0;0.279;0.0;0.774;0.934;0.503;0.329;901.4
2012;Calheta [R.A.A.];0.0;0.345;0.0;0.0;1.0;0.0;0.085;0.376;933.0
2012;Câmara de Lobos;0.732;0.439;0.258;0.348;1.0;0.0;0.894;0.301;882.9
2012;Caminha;0.0;0.035;1.0;0.293;1.0;1.0;0.134;0.245;846.2
2012;Cantanhede;0.359;0.136;0.031;0.0;0.937;0.502;0.529;0.425;965.1
2012;Carrazeda de Ansiães;0.052;0.0;0.348;0.0;0.895;0.0;0.057;0.086;740.8
2012;Carregal do Sal;0.436;0.209;0.0;0.0;0.941;1.0;0.34;0.241;843.1
2012;Cartaxo;0.376;0.495;0.484;0.111;1.0;0.983;0.272;0.369;928.0
2012;Castanheira de Pêra;0.341;0.341;0.341;0.341;0.341;0.341;0.053;0.337;906.7
2012;Castelo Branco;0.233;0.181;0.23;0.0;0.732;0.369;0.994;0.305;885.9
2012;Castelo de Paiva;0.087;0.073;0.105;0.0;1.0;0.408;0.272;0.077;734.8
2012;Castelo de Vide;0.334;0.334;0.334;0.334;0.334;0.334;0.076;0.162;790.7
2012;Castro Daire;0.0;0.0;0.035;0.0;0.603;0.941;0.256;0.138;775.0
2012;Castro Marim;0.334;0.334;0.334;0.334;0.334;0.334;0.155;0.183;805.1
2012;Celorico da Beira;0.0;0.456;0.139;0.0;0.547;0.348;0.167;0.022;698.3
2012;Celorico de Basto;0.164;0.0;0.0;0.0;0.847;0.0;0.632;0.071;730.9
2012;Chamusca;0.397;0.341;0.0;0.341;1.0;1.0;0.155;0.271;863.0
2012;Chaves;0.0;0.045;0.0;0.0;0.735;0.038;0.82;0.233;837.9
2012;Cinfães;0.0;0.021;0.0;0.0;0.571;0.0;0.98;0.072;731.5
2012;Condeixa-a-Nova;0.111;0.0;0.0;0.0;0.84;0.0;0.248;0.374;931.6
2012;Coruche;0.655;0.195;0.15;0.0;0.906;0.0;0.432;0.461;989.1
2012;Corvo;0.345;0.345;0.345;0.345;0.345;0.345;0.006;0.376;933.0
2012;Covilhã;0.157;0.045;0.16;0.0;0.76;0.805;0.967;0.263;858.0
2012;Crato;0.331;0.0;0.331;0.0;0.331;0.087;0.085;0.089;742.8
2012;Cuba;0.338;0.502;0.338;0.338;0.338;0.338;0.186;0.19;809.4
2012;Elvas;0.704;0.477;0.429;0.101;1.0;0.0;1.0;0.228;835.0
2012;Espinho;0.094;0.045;0.042;0.0;0.645;0.519;0.962;0.305;886.0
2012;Esposende;0.0;0.111;0.0;0.0;0.756;0.0;0.162;0.181;803.3
