Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2012;Aguiar da Beira;0.038;0.0;0.265;0.0;0.568;0.882;0.048;0.023;48.0
2012;Alandroal;0.334;0.334;0.334;0.0;0.334;0.334;0.106;0.162;48.0
2012;Albergaria-a-Velha;0.334;0.028;0.237;0.0;1.0;0.777;0.421;0.399;48.0
2012;Albufeira;0.564;0.0;0.425;0.0;0.909;0.767;0.431;0.343;48.0
2012;Alcácer do Sal;0.383;0.345;0.045;0.0;0.631;0.0;0.332;0.295;48.0
2012;Alcanena;0.066;0.373;0.139;0.0;0.585;0.812;0.157;0.451;48.0
2012;Alcoutim;0.331;0.331;0.331;0.331;0.331;0.331;0.027;0.126;94.0
2012;Alfândega da Fé;0.063;0.331;0.523;0.0;0.909;0.331;0.043;0.101;94.0
2012;Alijó;0.0;0.387;0.087;0.038;0.732;0.0;0.205;0.321;94.0
2012;Aljezur;0.334;0.334;0.334;0.334;0.334;0.334;0.093;0.149;94.0
2012;Almeida;0.0;0.258;0.206;0.331;1.0;0.15;0.115;0.117;94.0
2012;Almodôvar;0.286;0.209;0.0;0.0;1.0;0.0;0.093;0.147;94.0
2012;Alpiarça;0.0;0.181;0.017;0.341;1.0;0.348;0.1;0.314;342.0
2012;Alter do Chão;0.202;0.0;0.456;0.0;1.0;1.0;0.147;0.178;342.0
2012;Alvaiázere;0.024;0.338;0.589;0.338;1.0;0.0;0.077;0.228;342.0
2012;Alvito;0.341;0.0;0.341;0.0;0.341;0.613;0.051;0.318;342.0
2012;Amares;0.282;0.185;0.254;0.0;0.812;0.0;0.292;0.263;342.0
2012;Anadia;0.251;0.052;0.101;0.0;0.836;0.659;0.166;0.365;342.0
2012;Ansião;0.425;0.0;0.143;0.0;0.638;0.206;0.151;0.22;350.0
2012;Arcos de Valdevez;0.07;0.0;0.0;0.0;0.895;0.0;0.15;0.16;350.0
2012;Arganil;0.366;0.0;0.0;0.0;0.718;0.275;0.265;0.131;350.0
2012;Armamar;0.331;0.331;0.331;0.331;0.331;0.331;0.114;0.098;350.0
2012;Arouca;0.0;0.0;0.091;0.0;0.955;0.143;0.255;0.092;350.0
2012;Arraiolos;0.439;0.0;0.22;0.338;0.843;0.038;0.103;0.233;350.0
2012;Arronches;0.338;0.338;0.338;0.338;0.338;0.338;0.065;0.22;272.0
2012;Arruda dos Vinhos;0.0;0.425;0.0;0.0;0.833;1.0;0.091;0.421;272.0
2012;Avis;0.341;0.328;0.341;0.0;0.341;0.087;0.236;0.259;272.0
