Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor RSI
2012;Abrantes;0.324;0.101;0.226;0.0;0.993;0.798;0.692;0.441;556.0
2012;Águeda;0.359;0.014;0.066;0.0;1.0;0.15;0.622;0.365;556.0
2012;Alcobaça;0.0;0.0;0.077;0.0;0.972;0.659;0.521;0.293;556.0
2012;Alenquer;0.575;0.091;0.216;0.0;0.38;1.0;0.521;0.516;556.0
2012;Almada;0.453;0.188;0.192;0.0;1.0;1.0;1.0;0.53;556.0
2012;Almeirim;0.484;0.0;0.052;0.0;0.753;0.0;0.534;0.358;556.0
2012;Amadora;0.784;0.324;0.655;0.0;1.0;1.0;1.0;0.899;501.0
2012;Amarante;0.087;0.01;0.0;0.0;0.983;0.136;1.0;0.225;501.0
2012;Angra do Heroísmo;0.937;1.0;0.39;0.0;0.92;0.641;1.0;0.376;501.0
2012;Aveiro;0.23;0.0;0.202;0.0;0.889;0.544;1.0;0.65;501.0
2012;Baião;0.432;0.0;0.282;0.0;0.906;0.045;1.0;0.087;501.0
2012;Barcelos;0.003;0.0;0.007;0.0;0.544;0.181;0.975;0.161;501.0
2012;Barreiro;0.275;0.045;0.303;0.007;1.0;1.0;1.0;0.563;421.0
2012;Beja;0.185;0.289;0.042;0.0;0.847;0.676;1.0;0.445;421.0
2012;Benavente;0.223;0.052;0.139;0.355;1.0;0.0;0.726;0.448;421.0
2012;Braga;0.254;0.0;0.136;0.0;0.742;0.763;1.0;0.452;421.0
2012;Cabeceiras de Basto;0.373;0.0;0.348;0.0;1.0;0.028;0.607;0.07;421.0
2012;Caldas da Rainha;0.111;0.0;0.279;0.0;0.774;0.934;0.503;0.329;421.0
2012;Câmara de Lobos;0.732;0.439;0.258;0.348;1.0;0.0;0.894;0.301;421.0
2012;Cantanhede;0.359;0.136;0.031;0.0;0.937;0.502;0.529;0.425;421.0
2012;Cascais;0.237;0.0;0.118;0.0;0.676;0.735;1.0;0.72;421.0
2012;Castelo Branco;0.233;0.181;0.23;0.0;0.732;0.369;0.994;0.305;421.0
2012;Celorico de Basto;0.164;0.0;0.0;0.0;0.847;0.0;0.632;0.071;421.0
2012;Chaves;0.0;0.045;0.0;0.0;0.735;0.038;0.82;0.233;421.0
2012;Cinfães;0.0;0.021;0.0;0.0;0.571;0.0;0.98;0.072;799.0
2012;Coimbra;0.122;0.15;0.118;0.0;0.777;0.672;1.0;0.577;799.0
2012;Covilhã;0.157;0.045;0.16;0.0;0.76;0.805;0.967;0.263;799.0
2012;Elvas;0.704;0.477;0.429;0.101;1.0;0.0;1.0;0.228;799.0
2012;Espinho;0.094;0.045;0.042;0.0;0.645;0.519;0.962;0.305;799.0
2012;Estarreja;0.317;0.0;0.0;0.0;0.679;0.61;0.651;0.587;799.0
2012;Estremoz;0.07;0.035;0.063;0.0;0.944;0.0;0.502;0.266;431.0
2012;Évora;0.202;0.282;0.164;0.0;0.794;0.481;1.0;0.508;431.0
2012;Fafe;0.0;0.0;0.314;0.0;0.976;0.321;1.0;0.067;431.0
2012;Faro;0.261;0.091;0.213;0.0;1.0;0.965;1.0;0.566;431.0
2012;Felgueiras;0.167;0.0;0.091;0.0;0.976;0.753;0.712;0.043;431.0
2012;Figueira da Foz;0.195;0.0;0.167;0.0;0.763;0.474;1.0;0.589;431.0
2012;Funchal;0.244;0.523;0.111;0.003;0.948;1.0;1.0;0.616;799.0
