Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;;;;
2012;Abrantes;0.324;0.101;0.226;0.0;0.993;0.798;0.692;0.441;1.0;;1.0;1.0
2012;Águeda;0.359;0.014;0.066;0.0;1.0;0.15;0.622;0.365;0.516;;0.516;0.516
2012;Aguiar da Beira;0.038;0.0;0.265;0.0;0.568;0.882;0.048;0.023;0.51;;0.51;0.51
2012;Alandroal;0.334;0.334;0.334;0.0;0.334;0.334;0.106;0.162;0.53;;0.53;0.53
2012;Albergaria-a-Velha;0.334;0.028;0.237;0.0;1.0;0.777;0.421;0.399;0.899;;0.899;0.899
2012;Albufeira;0.564;0.0;0.425;0.0;0.909;0.767;0.431;0.343;0.65;;0.65;0.65
2012;Alcácer do Sal;0.383;0.345;0.045;0.0;0.631;0.0;0.332;0.295;0.657;;0.657;0.657
2012;Alcanena;0.066;0.373;0.139;0.0;0.585;0.812;0.157;0.451;0.563;;0.563;0.563
2012;Alcobaça;0.0;0.0;0.077;0.0;0.972;0.659;0.521;0.293;0.687;;0.687;0.687
2012;Alcochete;0.125;0.0;0.425;0.0;0.92;1.0;0.255;1.0;;;;
2012;Alcoutim;0.331;0.331;0.331;0.331;0.331;0.331;0.027;0.126;0.72;;0.72;0.72
2012;Alenquer;0.575;0.091;0.216;0.0;0.38;1.0;0.521;0.516;;;;
2012;Alfândega da Fé;0.063;0.331;0.523;0.0;0.909;0.331;0.043;0.101;0.577;;0.577;0.577
2012;Alijó;0.0;0.387;0.087;0.038;0.732;0.0;0.205;0.321;0.656;;0.656;0.656
2012;Aljezur;0.334;0.334;0.334;0.334;0.334;0.334;0.093;0.149;0.551;;0.551;0.551
2012;Aljustrel;0.101;0.22;0.087;0.0;0.871;0.523;0.243;0.51;;;;
2012;Almada;0.453;0.188;0.192;0.0;1.0;1.0;1.0;0.53;;;;
2012;Almeida;0.0;0.258;0.206;0.331;1.0;0.15;0.115;0.117;0.566;;0.566;0.566
2012;Almeirim;0.484;0.0;0.052;0.0;0.753;0.0;0.534;0.358;0.589;;0.589;0.589
2012;Almodôvar;0.286;0.209;0.0;0.0;1.0;0.0;0.093;0.147;0.616;;0.616;0.616
2012;Alpiarça;0.0;0.181;0.017;0.341;1.0;0.348;0.1;0.314;1.0;;1.0;1.0
2012;Alter do Chão;0.202;0.0;0.456;0.0;1.0;1.0;0.147;0.178;0.685;;0.685;0.685
2012;Alvaiázere;0.024;0.338;0.589;0.338;1.0;0.0;0.077;0.228;0.521;;0.521;0.521
2012;Alvito;0.341;0.0;0.341;0.0;0.341;0.613;0.051;0.318;0.722;;0.722;0.722
2012;Amadora;0.784;0.324;0.655;0.0;1.0;1.0;1.0;0.899;;;;
