Ano;Regiao;Alunos10CGeral;Alunos10CProfissional;Alunos11CGeral;Alunos11CProfissional;Alunos12CGeral;Alunos12CProfissional;valor_RSI;valor_GMM;Valor GMM
2012;Alcochete;0.125;0.0;0.425;0.0;0.92;1.0;0.255;1.0;1346.7
2012;Alenquer;0.575;0.091;0.216;0.0;0.38;1.0;0.521;0.516;1025.4
2012;Aljustrel;0.101;0.22;0.087;0.0;0.871;0.523;0.243;0.51;1021.7
2012;Almada;0.453;0.188;0.192;0.0;1.0;1.0;1.0;0.53;1034.9
2012;Amadora;0.784;0.324;0.655;0.0;1.0;1.0;1.0;0.899;1279.5
2012;Aveiro;0.23;0.0;0.202;0.0;0.889;0.544;1.0;0.65;1114.4
2012;Azambuja;0.498;0.0;0.021;0.0;0.812;1.0;0.388;0.657;1118.9
2012;Barreiro;0.275;0.045;0.303;0.007;1.0;1.0;1.0;0.563;1056.7
2012;Calheta [R.A.M.];0.362;1.0;0.362;0.0;1.0;0.812;0.177;0.687;1138.9
2012;Campo Maior;1.0;0.523;0.575;0.0;1.0;0.0;0.433;0.793;1209.7
2012;Cascais;0.237;0.0;0.118;0.0;0.676;0.735;1.0;0.72;1161.2
2012;Castro Verde;0.213;0.404;0.0;0.038;0.882;0.15;0.172;1.0;1346.7
2012;Coimbra;0.122;0.15;0.118;0.0;0.777;0.672;1.0;0.577;1066.0
2012;Constância;0.359;0.348;0.359;0.0;0.359;0.523;0.062;0.656;1118.3
2012;Entroncamento;0.07;0.094;0.0;0.0;0.0;1.0;0.322;0.551;1048.7
2012;Estarreja;0.317;0.0;0.0;0.0;0.679;0.61;0.651;0.587;1073.1
2012;Évora;0.202;0.282;0.164;0.0;0.794;0.481;1.0;0.508;1020.1
2012;Faro;0.261;0.091;0.213;0.0;1.0;0.965;1.0;0.566;1058.9
2012;Figueira da Foz;0.195;0.0;0.167;0.0;0.763;0.474;1.0;0.589;1073.8
2012;Funchal;0.244;0.523;0.111;0.003;0.948;1.0;1.0;0.616;1092.1
2012;Lisboa;0.275;0.153;0.181;0.0;0.794;1.0;1.0;1.0;1346.7
2012;Loures;0.526;0.164;0.279;0.0;1.0;1.0;1.0;0.685;1137.8
2012;Machico;0.47;1.0;0.251;0.0;0.882;0.739;0.413;0.521;1028.7
2012;Maia;0.164;0.282;0.017;0.0;1.0;0.467;1.0;0.722;1162.4
2012;Marinha Grande;0.052;0.0;0.077;0.0;1.0;0.843;0.711;0.7;1147.6
2012;Matosinhos;0.46;0.118;0.167;0.0;0.84;0.216;1.0;0.658;1119.6
2012;Oeiras;0.348;0.077;0.233;0.463;0.906;0.895;1.0;1.0;1346.7
2012;Oliveira de Frades;0.38;0.244;0.0;0.0;0.592;1.0;0.043;0.69;1140.8
2012;Palmela;0.233;0.0;0.031;0.0;0.962;0.47;0.978;0.909;1286.2
2012;Porto;0.129;0.254;0.108;0.0;0.544;0.774;1.0;0.928;1299.2
2012;Porto Santo;0.164;0.906;0.202;0.0;1.0;1.0;0.051;0.666;1125.4
2012;Santa Cruz;0.415;0.787;0.0;0.0;0.784;0.0;0.688;0.564;1057.4
2012;Seixal;0.307;0.028;0.23;0.0;1.0;1.0;1.0;0.738;1172.7
2012;Setúbal;0.213;0.0;0.275;0.0;1.0;1.0;1.0;0.774;1197.1
2012;Sines;0.474;0.247;0.474;0.0;1.0;0.415;0.407;1.0;1346.7
2012;Sintra;0.439;0.017;0.341;0.0;1.0;1.0;1.0;0.751;1181.8
2012;Torre de Moncorvo;0.854;0.296;0.397;0.087;1.0;0.425;0.035;0.702;1149.2
2012;Vila Franca de Xira;0.488;0.0;0.202;0.0;0.77;1.0;1.0;0.701;1148.5
2012;Vila Nova de Gaia;0.268;0.017;0.101;0.0;0.767;0.662;1.0;0.517;1026.2
2012;Vila Velha de Ródão;0.359;0.359;0.359;0.359;0.359;0.359;0.02;0.661;1121.8
2013;Alcochete;0.293;0.045;0.613;0.0;1.0;1.0;0.251;1.0;1346.7
2013;Alenquer;0.362;0.0;0.348;0.0;1.0;1.0;0.446;0.565;1058.5
2013;Aljustrel;0.0;0.0;0.0;0.0;0.983;0.0;0.242;0.536;1038.8
2013;Almada;0.338;0.0;0.31;0.0;1.0;1.0;1.0;0.521;1029.1
2013;Amadora;0.443;0.143;0.467;0.0;1.0;1.0;1.0;0.885;1270.3
2013;Aveiro;0.261;0.0;0.223;0.0;0.854;0.652;1.0;0.627;1099.3
2013;Azambuja;0.394;0.0;0.094;0.0;1.0;1.0;0.355;0.682;1135.7
2013;Barreiro;0.39;0.0;0.275;0.0;1.0;0.948;1.0;0.565;1058.2
2013;Calheta [R.A.M.];0.233;0.31;0.247;0.0;0.669;0.115;0.147;0.583;1070.3
2013;Campo Maior;0.425;0.0;0.387;0.397;1.0;1.0;0.384;0.749;1180.2
2013;Cascais;0.237;0.0;0.153;0.0;0.822;0.812;1.0;0.72;1161.1
2013;Castro Verde;0.0;0.0;0.0;0.0;0.491;0.0;0.132;1.0;1346.7
2013;Coimbra;0.063;0.098;0.108;0.0;0.78;0.624;1.0;0.6;1081.7
2013;Constância;0.314;0.314;0.314;0.0;0.314;0.0;0.047;0.678;1133.0
2013;Entroncamento;0.0;0.293;0.0;0.0;0.456;0.805;0.27;0.588;1073.3
2013;Estarreja;0.443;0.0;0.188;0.0;0.617;1.0;0.578;0.604;1084.4
2013;Évora;0.108;0.15;0.132;0.0;0.993;0.54;1.0;0.531;1035.4
2013;Faro;0.073;0.028;0.031;0.0;1.0;1.0;1.0;0.568;1060.0
2013;Figueira da Foz;0.0;0.049;0.035;0.0;0.47;0.669;1.0;0.566;1059.1
2013;Funchal;0.136;0.443;0.139;0.0;0.721;0.659;1.0;0.635;1104.7
2013;Lisboa;0.286;0.0;0.178;0.0;0.78;1.0;1.0;1.0;1346.7
2013;Loures;0.293;0.0;0.254;0.0;1.0;1.0;1.0;0.666;1125.5
2013;Machico;0.345;0.202;0.199;0.0;0.99;1.0;0.354;0.552;1049.5
2013;Maia;0.153;0.16;0.122;0.0;1.0;0.711;1.0;0.743;1176.0
2013;Marinha Grande;0.0;0.0;0.049;0.0;0.774;0.132;0.674;0.712;1155.6
2013;Matosinhos;0.512;0.0;0.254;0.0;0.794;0.394;1.0;0.671;1128.3
2013;Oeiras;0.24;0.017;0.146;0.0;1.0;1.0;1.0;1.0;1346.7
2013;Oliveira de Frades;0.0;0.0;0.0;0.202;0.784;1.0;0.027;0.581;1068.8
2013;Palmela;0.059;0.0;0.052;0.0;1.0;0.603;0.782;0.928;1299.1
2013;Porto;0.105;0.084;0.031;0.0;0.47;0.756;1.0;0.967;1324.9
2013;Porto Santo;0.233;0.0;0.063;0.0;1.0;0.812;0.044;0.795;1210.5
2013;Santa Cruz;0.105;0.132;0.07;0.0;1.0;0.812;0.558;0.584;1070.8
2013;Seixal;0.317;0.0;0.334;0.0;1.0;1.0;1.0;0.726;1164.7
2013;Setúbal;0.348;0.0;0.341;0.0;0.979;1.0;1.0;0.77;1193.9
2013;Sines;0.223;0.0;0.557;0.118;1.0;1.0;0.343;1.0;1346.7
2013;Sintra;0.53;0.0;0.244;0.0;1.0;1.0;1.0;0.762;1189.1
2013;Torre de Moncorvo;0.659;0.495;0.0;0.0;1.0;0.15;0.038;0.644;1110.6
2013;Vale de Cambra;0.272;0.0;0.0;0.0;0.742;0.474;0.114;0.5;1015.1
2013;Vila Franca de Xira;0.387;0.0;0.328;0.0;0.913;1.0;1.0;0.702;1148.8
2013;Vila Nova de Gaia;0.226;0.0;0.111;0.0;0.791;0.54;1.0;0.529;1034.5
