Ano;Regiao;Curso;Ano Escolar;Valor Alunos;Valor RSI;Valor GMM;zscore_valor_alunos;zscore_bool_valor_alunos;zscore_valor_rsi;zscore_bool_valor_rsi;zscore_valor_gmm;zscore_bool_valor_gmm
2012;Abrantes;Cursos gerais;10º ano;19.3;556.0;975.8;0.4774287919890344;TRUE;0.1410343589444591;TRUE;0.0562327281737361;TRUE
2012;Abrantes;Cursos gerais;11º ano;16.5;556.0;975.8;0.2438837562243917;TRUE;0.1410343589444591;TRUE;0.0562327281737361;TRUE
2012;Abrantes;Cursos gerais;12º ano;38.5;556.0;975.8;2.078880465803727;TRUE;0.1410343589444591;TRUE;0.0562327281737361;TRUE
2012;Abrantes;Cursos Tecnológicos e Profissionais;10º ano;12.9;556.0;975.8;-0.0563884326158631;TRUE;0.1410343589444591;TRUE;0.0562327281737361;TRUE
2012;Abrantes;Cursos Tecnológicos e Profissionais;11º ano;7.8;556.0;975.8;-0.4817740334728909;TRUE;0.1410343589444591;TRUE;0.0562327281737361;TRUE
2012;Abrantes;Cursos Tecnológicos e Profissionais;12º ano;32.9;556.0;975.8;1.6117903942744416;TRUE;0.1410343589444591;TRUE;0.0562327281737361;TRUE
2012;Águeda;Cursos gerais;10º ano;20.3;501.0;925.6;0.5608377333335497;TRUE;0.0837935095655538;TRUE;-0.216011925219569;TRUE
2012;Águeda;Cursos gerais;11º ano;11.9;501.0;925.6;-0.1397973739603783;TRUE;0.0837935095655538;TRUE;-0.216011925219569;TRUE
2012;Águeda;Cursos gerais;12º ano;40.3;501.0;925.6;2.229016560223854;TRUE;0.0837935095655538;TRUE;-0.216011925219569;TRUE
2012;Águeda;Cursos Tecnológicos e Profissionais;10º ano;10.4;501.0;925.6;-0.2649107859771512;TRUE;0.0837935095655538;TRUE;-0.216011925219569;TRUE
2012;Águeda;Cursos Tecnológicos e Profissionais;11º ano;9.8;501.0;925.6;-0.3149561507838603;TRUE;0.0837935095655538;TRUE;-0.216011925219569;TRUE
2012;Águeda;Cursos Tecnológicos e Profissionais;12º ano;14.3;501.0;925.6;0.0603840852664582;TRUE;0.0837935095655538;TRUE;-0.216011925219569;TRUE
