1. Ano,2. Nome Região (Portugal),3. Âmbito Geográfico,4. Filtro 1,5. Filtro 2,7. Escala,9. Valor
2013.0,Portugal,,Cursos gerais,10º ano,% dos alunos,16.4
2013.0,Portugal,,Cursos gerais,11º ano,% dos alunos,14.3
2013.0,Portugal,,Cursos gerais,12º ano,% dos alunos,35.6
2013.0,Portugal,,Cursos gerais,Total,% dos alunos,21.6
2013.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,8.7
2013.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,5.3
2013.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,32.6
2013.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,14.6
2013.0,Portugal,,Total,10º ano,% dos alunos,13.4
2013.0,Portugal,,Total,11º ano,% dos alunos,10.9
2013.0,Portugal,,Total,12º ano,% dos alunos,34.5
2013.0,Portugal,,Total,Total,% dos alunos,19.0
2014.0,Portugal,,Cursos gerais,10º ano,% dos alunos,16.6
2014.0,Portugal,,Cursos gerais,11º ano,% dos alunos,12.8
2014.0,Portugal,,Cursos gerais,12º ano,% dos alunos,35.0
2014.0,Portugal,,Cursos gerais,Total,% dos alunos,21.1
2014.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,7.2
2014.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.9
2014.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,32.3
2014.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,14.2
2014.0,Portugal,,Total,10º ano,% dos alunos,13.0
2014.0,Portugal,,Total,11º ano,% dos alunos,9.9
2014.0,Portugal,,Total,12º ano,% dos alunos,34.0
2014.0,Portugal,,Total,Total,% dos alunos,18.5
2015.0,Portugal,,Cursos gerais,10º ano,% dos alunos,15.1
2015.0,Portugal,,Cursos gerais,11º ano,% dos alunos,10.7
2015.0,Portugal,,Cursos gerais,12º ano,% dos alunos,30.3
2015.0,Portugal,,Cursos gerais,Total,% dos alunos,18.4
2015.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,8.2
2015.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.9
2015.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,29.0
2015.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,13.5
2015.0,Portugal,,Total,10º ano,% dos alunos,12.5
2015.0,Portugal,,Total,11º ano,% dos alunos,8.6
2015.0,Portugal,,Total,12º ano,% dos alunos,29.9
2015.0,Portugal,,Total,Total,% dos alunos,16.6
2016.0,Portugal,,Cursos gerais,10º ano,% dos alunos,16.5
2016.0,Portugal,,Cursos gerais,11º ano,% dos alunos,8.4
2016.0,Portugal,,Cursos gerais,12º ano,% dos alunos,29.9
2016.0,Portugal,,Cursos gerais,Total,% dos alunos,18.0
2016.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,6.9
2016.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.5
2016.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,25.1
2016.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,11.6
2016.0,Portugal,,Total,10º ano,% dos alunos,12.9
2016.0,Portugal,,Total,11º ano,% dos alunos,7.1
2016.0,Portugal,,Total,12º ano,% dos alunos,28.2
2016.0,Portugal,,Total,Total,% dos alunos,15.7
2017.0,Portugal,,Cursos gerais,10º ano,% dos alunos,16.4
2017.0,Portugal,,Cursos gerais,11º ano,% dos alunos,8.7
2017.0,Portugal,,Cursos gerais,12º ano,% dos alunos,27.5
2017.0,Portugal,,Cursos gerais,Total,% dos alunos,17.5
2017.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,6.5
2017.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.4
2017.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,23.8
2017.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,10.9
2017.0,Portugal,,Total,10º ano,% dos alunos,12.6
2017.0,Portugal,,Total,11º ano,% dos alunos,7.1
2017.0,Portugal,,Total,12º ano,% dos alunos,26.2
2017.0,Portugal,,Total,Total,% dos alunos,15.1
2018.0,Portugal,,Cursos gerais,10º ano,% dos alunos,14.1
2018.0,Portugal,,Cursos gerais,11º ano,% dos alunos,8.3
2018.0,Portugal,,Cursos gerais,12º ano,% dos alunos,26.0
2018.0,Portugal,,Cursos gerais,Total,% dos alunos,16.0
2018.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,6.1
2018.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.7
2018.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,21.6
2018.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,10.3
2018.0,Portugal,,Total,10º ano,% dos alunos,11.1
2018.0,Portugal,,Total,11º ano,% dos alunos,7.0
2018.0,Portugal,,Total,12º ano,% dos alunos,24.5
2018.0,Portugal,,Total,Total,% dos alunos,13.9
2019.0,Portugal,,Cursos gerais,10º ano,% dos alunos,13.3
2019.0,Portugal,,Cursos gerais,11º ano,% dos alunos,7.8
2019.0,Portugal,,Cursos gerais,12º ano,% dos alunos,23.2
2019.0,Portugal,,Cursos gerais,Total,% dos alunos,14.6
2019.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,6.2
2019.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.7
2019.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,21.6
2019.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,10.3
2019.0,Portugal,,Total,10º ano,% dos alunos,10.7
2019.0,Portugal,,Total,11º ano,% dos alunos,6.7
2019.0,Portugal,,Total,12º ano,% dos alunos,22.6
2019.0,Portugal,,Total,Total,% dos alunos,13.1
2020.0,Portugal,,Cursos gerais,10º ano,% dos alunos,8.5
2020.0,Portugal,,Cursos gerais,11º ano,% dos alunos,3.0
2020.0,Portugal,,Cursos gerais,12º ano,% dos alunos,13.0
2020.0,Portugal,,Cursos gerais,Total,% dos alunos,8.1
2020.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,5.2
2020.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,3.9
2020.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,19.6
2020.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,9.2
2020.0,Portugal,,Total,10º ano,% dos alunos,7.3
2020.0,Portugal,,Total,11º ano,% dos alunos,3.3
2020.0,Portugal,,Total,12º ano,% dos alunos,15.4
2020.0,Portugal,,Total,Total,% dos alunos,8.5
2021.0,Portugal,,Cursos gerais,10º ano,% dos alunos,9.8
2021.0,Portugal,,Cursos gerais,11º ano,% dos alunos,3.1
2021.0,Portugal,,Cursos gerais,12º ano,% dos alunos,10.9
2021.0,Portugal,,Cursos gerais,Total,% dos alunos,8.0
2021.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,6.0
2021.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,4.7
2021.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,16.6
2021.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,8.8
2021.0,Portugal,,Total,10º ano,% dos alunos,8.4
2021.0,Portugal,,Total,11º ano,% dos alunos,3.7
2021.0,Portugal,,Total,12º ano,% dos alunos,12.9
2021.0,Portugal,,Total,Total,% dos alunos,8.3
2022.0,Portugal,,Cursos gerais,10º ano,% dos alunos,10.8
2022.0,Portugal,,Cursos gerais,11º ano,% dos alunos,3.8
2022.0,Portugal,,Cursos gerais,12º ano,% dos alunos,10.2
2022.0,Portugal,,Cursos gerais,Total,% dos alunos,8.3
2022.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,6.6
2022.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,5.2
2022.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,15.8
2022.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,9.0
2022.0,Portugal,,Total,10º ano,% dos alunos,9.3
2022.0,Portugal,,Total,11º ano,% dos alunos,4.3
2022.0,Portugal,,Total,12º ano,% dos alunos,12.2
2022.0,Portugal,,Total,Total,% dos alunos,8.6
2023.0,Portugal,,Cursos gerais,10º ano,% dos alunos,12.4
2023.0,Portugal,,Cursos gerais,11º ano,% dos alunos,4.0
2023.0,Portugal,,Cursos gerais,12º ano,% dos alunos,11.2
2023.0,Portugal,,Cursos gerais,Total,% dos alunos,9.3
2023.0,Portugal,,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,9.1
2023.0,Portugal,,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,6.4
2023.0,Portugal,,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,16.9
2023.0,Portugal,,Cursos Tecnológicos e Profissionais,Total,% dos alunos,10.6
2023.0,Portugal,,Total,10º ano,% dos alunos,11.2
2023.0,Portugal,,Total,11º ano,% dos alunos,4.8
2023.0,Portugal,,Total,12º ano,% dos alunos,13.2
2023.0,Portugal,,Total,Total,% dos alunos,9.8
2013.0,Abrantes,Município,Cursos gerais,10º ano,% dos alunos,14.5
2013.0,Abrantes,Município,Cursos gerais,11º ano,% dos alunos,26.8
2013.0,Abrantes,Município,Cursos gerais,12º ano,% dos alunos,43.9
2013.0,Abrantes,Município,Cursos gerais,Total,% dos alunos,26.6
2013.0,Abrantes,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,15.8
2013.0,Abrantes,Município,Cursos Tecnológicos e Profissionais,11º ano,% dos alunos,10.7
2013.0,Abrantes,Município,Cursos Tecnológicos e Profissionais,12º ano,% dos alunos,30.0
2013.0,Abrantes,Município,Cursos Tecnológicos e Profissionais,Total,% dos alunos,18.3
2013.0,Abrantes,Município,Total,10º ano,% dos alunos,15.0
2013.0,Abrantes,Município,Total,11º ano,% dos alunos,20.8
2013.0,Abrantes,Município,Total,12º ano,% dos alunos,38.7
2013.0,Abrantes,Município,Total,Total,% dos alunos,23.5
2013.0,Águeda,Município,Cursos gerais,10º ano,% dos alunos,22.1
2013.0,Águeda,Município,Cursos gerais,11º ano,% dos alunos,15.6
2013.0,Águeda,Município,Cursos gerais,12º ano,% dos alunos,38.8
2013.0,Águeda,Município,Cursos gerais,Total,% dos alunos,24.9
2013.0,Águeda,Município,Cursos Tecnológicos e Profissionais,10º ano,% dos alunos,5.5
